Nomos;Dimos;Onoma
ΧΑΛΚΙΔΙΚΗ;Δήμος Σιθωνίας;Μαρμαράς C
ΧΑΛΚΙΔΙΚΗ;Δήμος Σιθωνίας;Λιβροχιό 1
ΧΑΛΚΙΔΙΚΗ;Δήμος Σιθωνίας;Μαρμαράς B
ΧΑΛΚΙΔΙΚΗ;Δήμος Σιθωνίας;Αρμενιστής
ΧΑΛΚΙΔΙΚΗ;Δήμος Κασσάνδρας;Κρυοπηγή 2
ΧΑΛΚΙΔΙΚΗ;Δήμος Κασσάνδρας;Κρυοπηγή 4
ΧΑΛΚΙΔΙΚΗ;Δήμος Κασσάνδρας;Φούρκα
ΧΑΛΚΙΔΙΚΗ;Δήμος Κασσάνδρας;Πολύχρονο 3
ΧΑΛΚΙΔΙΚΗ;Δήμος Κασσάνδρας;Χανιώτη 3
ΧΑΛΚΙΔΙΚΗ;Δήμος Νέας Προποντίδας;Ελαιώνας
ΧΑΛΚΙΔΙΚΗ;Δήμος Νέας Προποντίδας;Νέα Ποτίδαια
ΠΙΕΡΙΑ;Δήμος Κατερίνης;Ολυμπιακή Ακτή
ΠΙΕΡΙΑ;Δήμος Κατερίνης;Περίσταση
ΠΙΕΡΙΑ;Δήμος Κατερίνης;Παραλία
ΠΙΕΡΙΑ;Δήμος Κατερίνης;Καλλιθέα
ΠΙΕΡΙΑ;Δήμος Κατερίνης;Κορινός
ΛΑΡΙΣΑ;Δήμος Τεμπών;Νέα Μεσάγγαλα 1
ΛΑΡΙΣΑ;Δήμος Τεμπών;Νέα Μεσάγγαλα 2
ΛΑΡΙΣΑ;Δήμος Τεμπών;Νέα Μεσάγγαλα 3
ΛΑΡΙΣΑ;Δήμος Αγιάς;Αγιόκαμπος/Χρυσή Ακτή
ΛΑΡΙΣΑ;Δήμος Αγιάς;Στόμιο
ΜΑΓΝΗΣΙΑ;Δήμος Νοτίου Πηλίου;Κορώπη/Μπούφα
ΜΑΓΝΗΣΙΑ;Δήμος Νοτίου Πηλίου;Καλά Νερά
ΜΑΓΝΗΣΙΑ;Δήμος Νοτίου Πηλίου;Καλά Νερά/Θέρετρο Αξ/κών
ΜΑΓΝΗΣΙΑ;Δήμος Βόλου;Αγριά /Μπάρμπα Θωμάς
ΜΑΓΝΗΣΙΑ;Δήμος Βόλου;Άναυρος
ΜΑΓΝΗΣΙΑ;Δήμος Βόλου;Αλυκές
ΜΑΓΝΗΣΙΑ;Δήμος Βόλου;Παγασών/Βόλος
ΜΑΓΝΗΣΙΑ;Δήμος Βόλου;Αμαρυλίδα
ΜΑΓΝΗΣΙΑ;Δήμος Βόλου;Αμφάνων
ΜΑΓΝΗΣΙΑ;Δήμος Βόλου;Πευκάκια
ΜΑΓΝΗΣΙΑ;Δήμος Βόλου;Χρυσή Παναγιά
ΜΑΓΝΗΣΙΑ;Δήμος Βόλου;Πλατανίδια
ΜΑΓΝΗΣΙΑ;Δήμος Βόλου;Νέα Αγχίαλος 2
ΜΑΓΝΗΣΙΑ;Δήμος Σκιάθου;Κουκουναριές
ΜΑΓΝΗΣΙΑ;Δήμος Σκιάθου;Μάραθα
ΜΑΓΝΗΣΙΑ;Δήμος Σκοπέλου;Αντρίνα
ΦΘΙΩΤΙΔΑ;Δήμος Στυλίδας;Γλύφα
ΦΘΙΩΤΙΔΑ;Δήμος Μώλου;- Αγ. Κωνσταντίνου
ΦΘΙΩΤΙΔΑ;Δήμος Μώλου;Καμένα Βούρλα/Γαλήνη
ΦΘΙΩΤΙΔΑ;Δήμος Λοκρών;Σκάλα Αταλάντης
ΦΘΙΩΤΙΔΑ;Δήμος Λοκρών;Τραγάνα
ΦΘΙΩΤΙΔΑ;Δήμος Λοκρών;Λιβανάτες 1/Κυανή Ακτή
ΦΘΙΩΤΙΔΑ;Δήμος Λοκρών;Λιβανάτες 2/Σχοινιάς
ΦΘΙΩΤΙΔΑ;Δήμος Λοκρών;Σουβάλα Αρκίτσας
ΦΘΙΩΤΙΔΑ;Δήμος Λοκρών;Βλυχάδα
ΦΩΚΙΔΑ;Δήμος Δωρίδος;Ερατεινή
ΦΩΚΙΔΑ;Δήμος Δωρίδος;Χιλιαδού
ΦΩΚΙΔΑ;Δήμος Δωρίδος;Σεργούλα
ΦΩΚΙΔΑ;Δήμος Δωρίδος;Μοναστηράκι
ΦΩΚΙΔΑ;Δήμος Δελφών;Μαϊάμι
ΦΩΚΙΔΑ;Δήμος Δελφών;Τροκαντερό/Αγκάλι
ΦΩΚΙΔΑ;Δήμος Δελφών;Άγιοι Πάντες
ΦΩΚΙΔΑ;Δήμος Δελφών;Καλαφάτης
ΒΟΙΩΤΙΑ;Δήμος Διστόμου -;Αράχωβας – Αντίκυρας
ΒΟΙΩΤΙΑ;Δήμος Διστόμου -;Άγιος Ισίδωρος
ΒΟΙΩΤΙΑ;Δήμος Τανάγρας;Πλάκα Δηλεσίου
ΕΥΒΟΙΑ;Δήμος Χαλκιδέων;Αλυκές Δροσιάς
ΕΥΒΟΙΑ;Δήμος Χαλκιδέων;Λευκαντί
ΕΥΒΟΙΑ;Δήμος Χαλκιδέων;Αστέρια Χαλκίδας
ΕΥΒΟΙΑ;Δήμος Ερέτριας;Ερέτρια 3
ΑΤΤΙΚΗ;Δήμος Μαραθώνα;Σχινιάς/Καράβι
ΑΤΤΙΚΗ;Δήμος Μαραθώνα;Μπρεξίζα
ΑΤΤΙΚΗ;Δήμος Μαρκόπουλου;Μεσογαίας
ΑΤΤΙΚΗ;Δήμος Μαρκόπουλου;Αυλάκι
ΑΤΤΙΚΗ;Δήμος Σαρωνικού;Μαύρο Λιθάρι/Eden Beach
ΑΤΤΙΚΗ;Δήμος Σαρωνικού;Ανάβυσσος / Κεντρική
ΑΤΤΙΚΗ;Δήμος Σαρωνικού;Λαγονήσι 1 / Grand Beach
ΑΤΤΙΚΗ;Δήμος Σαρωνικού;Λαγονήσι 2 / Mediterraneo
ΑΤΤΙΚΗ;Δήμος Σαρωνικού;Λαγονήσι 3 / Κοχύλια
ΑΤΤΙΚΗ;Δήμος Βάρης – Βούλας – Βουλιαγμένης;Βάρκιζα
ΑΤΤΙΚΗ;Δήμος Βάρης – Βούλας – Βουλιαγμένης;Αστέρας Βουλιαγμένης
ΑΤΤΙΚΗ;Δήμος Βάρης – Βούλας – Βουλιαγμένης;Βούλα A
ΑΤΤΙΚΗ;Δήμος Αίγινας;Αγ. Μαρίνα
ΑΤΤΙΚΗ;Δήμος Κυθήρων;Κακιά Λαγκάδα
ΚΟΡΙΝΘΙΑ;Δήμος Λουτρακίου -;Αγ. Θεοδώρων
ΚΟΡΙΝΘΙΑ;Δήμος Λουτρακίου -;Λουτράκι 1
ΚΟΡΙΝΘΙΑ;Δήμος Λουτρακίου -;Λουτράκι 2
ΚΟΡΙΝΘΙΑ;Δήμος Λουτρακίου -;Λουτράκι/Μπούτσι
ΚΟΡΙΝΘΙΑ;Δήμος Λουτρακίου -;Πευκάκια
ΚΟΡΙΝΘΙΑ;Δήμος Κορινθίων;Βέλου – Βόχας
ΚΟΡΙΝΘΙΑ;Δήμος Κορινθίων;Κοκκώνι
ΚΟΡΙΝΘΙΑ;Δήμος Κορινθίων;Βραχάτι
ΚΟΡΙΝΘΙΑ;Δήμος Σικυωνίων;Πευκιάς
ΚΟΡΙΝΘΙΑ;Δήμος Ξυλοκάστρου – Ευρωστίνης;Ξυλόκαστρο/Πευκιάς
ΚΟΡΙΝΘΙΑ;Δήμος Ξυλοκάστρου – Ευρωστίνης;Ξυλόκαστρο/Αριστοναυτών
ΚΟΡΙΝΘΙΑ;Δήμος Ξυλοκάστρου – Ευρωστίνης;Καμάρι
ΚΟΡΙΝΘΙΑ;Δήμος Ξυλοκάστρου – Ευρωστίνης;Μελίσσι
ΚΟΡΙΝΘΙΑ;Δήμος Ξυλοκάστρου – Ευρωστίνης;Συκιά
ΚΟΡΙΝΘΙΑ;Δήμος Ξυλοκάστρου – Ευρωστίνης;Δερβένι
ΑΡΓΟΛΙΔΑ;Δήμος Ερμιονίδας;Πόρτο Χέλι/Χηνίτσα
ΑΡΓΟΛΙΔΑ;Δήμος Ναυπλιέων;Καραθώνα
ΑΡΓΟΛΙΔΑ;Δήμος Ναυπλιέων;Τολό
ΑΡΚΑΔΙΑ;Δήμος Βόρειας Κυνουρίας;Καλλιστώ
ΛΑΚΩΝΙΑ;Δήμος Μονεμβασιάς;Νεάπολη
ΛΑΚΩΝΙΑ;Δήμος Μονεμβασιάς;Αρχάγγελος
ΛΑΚΩΝΙΑ;Δήμος Μονεμβασιάς;Πλύτρα/Παχιάμμος
ΛΑΚΩΝΙΑ;Δήμος Μονεμβασιάς;Τηγάνια
ΛΑΚΩΝΙΑ;Δήμος Μονεμβασιάς;Μονεμβασιά
ΛΑΚΩΝΙΑ;Δήμος Μονεμβασιάς;Πορί
ΛΑΚΩΝΙΑ;Δήμος Ανατολικής Μάνης;Σκουτάρι
ΛΑΚΩΝΙΑ;Δήμος Ανατολικής Μάνης;Μαυροβούνι 1
ΛΑΚΩΝΙΑ;Δήμος Ανατολικής Μάνης;Μαυροβούνι 2
ΛΑΚΩΝΙΑ;Δήμος Ανατολικής Μάνης;Βαθύ
ΜΕΣΣΗΝΙΑ;Δήμος Καλαμάτας;Μικρή Μαντίνεια
ΜΕΣΣΗΝΙΑ;Δήμος Καλαμάτας;Ανατολ. Καλαμάτα 1 / Ανάσταση
ΜΕΣΣΗΝΙΑ;Δήμος Μεσσήνης;Μπούκα
ΜΕΣΣΗΝΙΑ;Δήμος Τριφυλίας;Άι Λαγούδης
ΜΕΣΣΗΝΙΑ;Δήμος Τριφυλίας;Καλό Νερό
ΗΛΕΙΑ;Δήμος Ζαχάρως;Ζαχάρω
ΗΛΕΙΑ;Δήμος Πηνειού;Αρκούδι
ΗΛΕΙΑ;Δήμος Πηνειού;Βαρθολομιό
ΗΛΕΙΑ;Δήμος Πηνειού;Γλύφα
ΗΛΕΙΑ;Δήμος Ήλιδας;Κουρούτα
ΗΛΕΙΑ;Δήμος Ηλείας;Ανδραβίδας – Κυλλήνης
ΗΛΕΙΑ;Δήμος Ηλείας;Κάστρο/Χρυσή Ακτή 2
ΗΛΕΙΑ;Δήμος Ηλείας;Λουτρά Κυλλήνης 1
ΗΛΕΙΑ;Δήμος Ηλείας;Λουτρά Κυλλήνης 2
ΑΧΑΙΑ;Δήμος Δυτικής Αχαΐας;Καλογριά
ΑΧΑΙΑ;Δήμος Αιγιαλείας;Διγελιώτικα
ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑ;Δήμος Ναυπάκτου;Ψανή
ΠΡΕΒΕΖΑ;Δήμος Πρέβεζας;Κυανή
ΠΡΕΒΕΖΑ;Δήμος Πρέβεζας;Μονολίθι
ΠΡΕΒΕΖΑ;Δήμος Πρέβεζας;Πλατάνια
ΠΡΕΒΕΖΑ;Δήμος Πρέβεζας;Μέγα Άμμος
ΠΡΕΒΕΖΑ;Δήμος Πρέβεζας;Τσούκες
ΠΡΕΒΕΖΑ;Δήμος Πάργας;Λούτσα
ΚΕΡΚΥΡΑ;Δήμος Κέρκυρας;Κομμένο
ΚΕΡΚΥΡΑ;Δήμος Κέρκυρας;Κοντόκαλι
ΚΕΡΚΥΡΑ;Δήμος Κέρκυρας;Αλυκές Ποταμού
ΚΕΡΚΥΡΑ;Δήμος Κέρκυρας;Μπαρμπάτι
ΚΕΡΚΥΡΑ;Δήμος Κέρκυρας;Ύψος
ΚΕΡΚΥΡΑ;Δήμος Κέρκυρας;Δασιά
ΚΕΡΚΥΡΑ;Δήμος Κέρκυρας;Καλαμιώνας
ΚΕΡΚΥΡΑ;Δήμος Κέρκυρας;Κερασιά
ΚΕΡΚΥΡΑ;Δήμος Κέρκυρας;Νησάκι/Κρουζερή
ΚΕΡΚΥΡΑ;Δήμος Κέρκυρας;Γιμάρι
ΚΕΡΚΥΡΑ;Δήμος Κέρκυρας;Περίθεια/Άγ. Σπυρίδωνας
ΚΕΡΚΥΡΑ;Δήμος Κέρκυρας;Αλμυρός
ΚΕΡΚΥΡΑ;Δήμος Κέρκυρας;Απράος Καλαμάκι
ΚΕΡΚΥΡΑ;Δήμος Κέρκυρας;Ρόδα
ΚΕΡΚΥΡΑ;Δήμος Κέρκυρας;Canal d'Amour
ΚΕΡΚΥΡΑ;Δήμος Κέρκυρας;Αρίλλας
ΚΕΡΚΥΡΑ;Δήμος Κέρκυρας;Σιδάρι
ΚΕΡΚΥΡΑ;Δήμος Κέρκυρας;Παλαιοκαστρίτσα
ΚΕΡΚΥΡΑ;Δήμος Κέρκυρας;Έρμονες
ΚΕΡΚΥΡΑ;Δήμος Κέρκυρας;Γλυφάδα
ΚΕΡΚΥΡΑ;Δήμος Κέρκυρας;Κοντογιαλός
ΚΕΡΚΥΡΑ;Δήμος Κέρκυρας;Άγιος Ματθαίος
ΚΕΡΚΥΡΑ;Δήμος Κέρκυρας;Ίσσος
ΚΕΡΚΥΡΑ;Δήμος Κέρκυρας;Μεσογγή
ΚΕΡΚΥΡΑ;Δήμος Κέρκυρας;Χαλικούνας
ΚΕΡΚΥΡΑ;Δήμος Κέρκυρας;Άγιος Γεώργιος
ΚΕΡΚΥΡΑ;Δήμος Κέρκυρας;Μαραθιάς
ΚΕΡΚΥΡΑ;Δήμος Κέρκυρας;Μπενίτσες
ΚΕΡΚΥΡΑ;Δήμος Κέρκυρας;Άγιος Γόρδιος
ΚΕΡΚΥΡΑ;Δήμος Κέρκυρας;Δαφνίλα
ΛΕΥΚΑΔΑ;Δήμος Λευκάδας;Άη Γιάννης
ΛΕΥΚΑΔΑ;Δήμος Λευκάδας;Λευκάδα/Γύρα
ΛΕΥΚΑΔΑ;Δήμος Λευκάδας;Άγ. Νικήτας-Πευκούλια
ΛΕΥΚΑΔΑ;Δήμος Λευκάδας;Κάθισμα 1
ΛΕΥΚΑΔΑ;Δήμος Λευκάδας;Πόρτο Κατσίκι
ΛΕΥΚΑΔΑ;Δήμος Λευκάδας;Νυδρί
ΛΕΥΚΑΔΑ;Δήμος Λευκάδας;Μικρός Γιαλός / Πόρος
ΚΕΦΑΛΟΝΙΑ;Δήμος Κεφαλονιάς;Πετανοί
ΚΕΦΑΛΟΝΙΑ;Δήμος Κεφαλονιάς;Πλατύς Γιαλός
ΚΕΦΑΛΟΝΙΑ;Δήμος Κεφαλονιάς;Μακρύς Γιαλός
ΚΕΦΑΛΟΝΙΑ;Δήμος Κεφαλονιάς;Άβυθος
ΚΕΦΑΛΟΝΙΑ;Δήμος Κεφαλονιάς;Λουρδάς
ΚΕΦΑΛΟΝΙΑ;Δήμος Κεφαλονιάς;Άμμες
ΚΕΦΑΛΟΝΙΑ;Δήμος Κεφαλονιάς;Σκάλα
ΚΕΦΑΛΟΝΙΑ;Δήμος Κεφαλονιάς;Αράγια Πόρου
ΚΕΦΑΛΟΝΙΑ;Δήμος Κεφαλονιάς;Μύρτος
ΚΕΦΑΛΟΝΙΑ;Δήμος Κεφαλονιάς;Ξι
ΚΕΦΑΛΟΝΙΑ;Δήμος Κεφαλονιάς;Αγ. Βαρβάρα/Κατελειός
ΚΕΦΑΛΟΝΙΑ;Δήμος Κεφαλονιάς;Αντίσαμος
ΖΑΚΥΝΘΟΣ;Δήμος Ζακύνθου;Αλυκανάς 1
ΖΑΚΥΝΘΟΣ;Δήμος Ζακύνθου;Αλυκανάς 2
ΖΑΚΥΝΘΟΣ;Δήμος Ζακύνθου;Αλυκές 1
ΖΑΚΥΝΘΟΣ;Δήμος Ζακύνθου;Αλυκές 2
ΖΑΚΥΝΘΟΣ;Δήμος Ζακύνθου;Άμπουλα Ψαρού
ΖΑΚΥΝΘΟΣ;Δήμος Ζακύνθου;Τσιλιβή
ΖΑΚΥΝΘΟΣ;Δήμος Ζακύνθου;Μπούκα
ΖΑΚΥΝΘΟΣ;Δήμος Ζακύνθου;Άμπουλα Τραγάκι
ΖΑΚΥΝΘΟΣ;Δήμος Ζακύνθου;Κατραγάκι
ΧΑΝΙΑ;Δήμος Καντάνου Σελίνου;Βουλισμένη
ΧΑΝΙΑ;Δήμος Καντάνου Σελίνου;Γραμμένο
ΧΑΝΙΑ;Δήμος Καντάνου Σελίνου;Παχειά Άμμος
ΧΑΝΙΑ;Δήμος Καντάνου Σελίνου;Χαλίκια
ΧΑΝΙΑ;Δήμος Καντάνου Σελίνου;Σούγια
ΧΑΝΙΑ;Δήμος Κισσάμου;Φαλάσαρνα / Παχειά Άμμος 1
ΧΑΝΙΑ;Δήμος Κισσάμου;Φαλάσαρνα / Παχειά Άμμος 2
ΧΑΝΙΑ;Δήμος Κισσάμου;Καστέλι / Μαύρος Μόλος-Πλάκα
ΧΑΝΙΑ;Δήμος Πλατανιά;Πλατανιάς
ΧΑΝΙΑ;Δήμος Πλατανιά;Πλατανιάς /Λιμανάκι
ΧΑΝΙΑ;Δήμος Πλατανιά;Κολυμβάρι
ΧΑΝΙΑ;Δήμος Πλατανιά;Ραπανιανά
ΧΑΝΙΑ;Δήμος Χανίων;Σταλός
ΧΑΝΙΑ;Δήμος Χανίων;Άγιοι Απόστολοι 1
ΧΑΝΙΑ;Δήμος Χανίων;Άγιοι Απόστολοι 2
ΧΑΝΙΑ;Δήμος Χανίων;Χρυσή Ακτή
ΧΑΝΙΑ;Δήμος Χανίων;Αγία Μαρίνα
ΧΑΝΙΑ;Δήμος Χανίων;Καλαμάκι
ΧΑΝΙΑ;Δήμος Χανίων;Νέα Χώρα
ΧΑΝΙΑ;Δήμος Χανίων;Μαράθι
ΧΑΝΙΑ;Δήμος Χανίων;Σταυρός
ΧΑΝΙΑ;Δήμος Χανίων;Άγιος Ονούφριος
ΧΑΝΙΑ;Δήμος Χανίων;Καλαθάς
ΧΑΝΙΑ;Δήμος Αποκορώνου;Μαϊστράλι
ΧΑΝΙΑ;Δήμος Αποκορώνου;Καλύβες Ξυδά
ΧΑΝΙΑ;Δήμος Αποκορώνου;Αλμυρίδα
ΧΑΝΙΑ;Δήμος Αποκορώνου;Κυανή
ΧΑΝΙΑ;Δήμος Αποκορώνου;Καβρός
ΧΑΝΙΑ;Δήμος Αποκορώνου;Περαστικός
ΡΕΘΥΜΝΟ;Δήμος Ρεθύμνης;Ρέθυμνο 1
ΡΕΘΥΜΝΟ;Δήμος Ρεθύμνης;Ρέθυμνο 2
ΡΕΘΥΜΝΟ;Δήμος Ρεθύμνης;Ρέθυμνο 3
ΡΕΘΥΜΝΟ;Δήμος Ρεθύμνης;Ρέθυμνο 4 / Μυσσίρια
ΡΕΘΥΜΝΟ;Δήμος Ρεθύμνης;Πλατανιάς Β/Ρέθυμνο 6
ΡΕΘΥΜΝΟ;Δήμος Ρεθύμνης;Περιβόλια
ΡΕΘΥΜΝΟ;Δήμος Ρεθύμνης;Αδελιανός Κάμπος Α
ΡΕΘΥΜΝΟ;Δήμος Ρεθύμνης;Πηγιανός Κάμπος
ΡΕΘΥΜΝΟ;Δήμος Ρεθύμνης;Σκαλέτα
ΡΕΘΥΜΝΟ;Δήμος Μυλοποτάμου;Πάνορμος/Λίμνη
ΡΕΘΥΜΝΟ;Δήμος Μυλοποτάμου;Λιανός Κάβος Λαυρίς
ΡΕΘΥΜΝΟ;Δήμος Μυλοποτάμου;Μπαλί Βαρκότοπος
ΡΕΘΥΜΝΟ;Δήμος Μυλοποτάμου;Μπαλί Λιβάδι
ΡΕΘΥΜΝΟ;Δήμος Αγίου Βασιλείου;Δαμνόνι
ΡΕΘΥΜΝΟ;Δήμος Αγίου Βασιλείου;Πλακιάς
ΡΕΘΥΜΝΟ;Δήμος Αγίου Βασιλείου;Σούδα
ΡΕΘΥΜΝΟ;Δήμος Αγίου Βασιλείου;Ροδάκινο
ΗΡΑΚΛΕΙΟ;Δήμος Μαλεβιζίου;Ελληνοπεράματα
ΗΡΑΚΛΕΙΟ;Δήμος Μαλεβιζίου;Φόδελε
ΗΡΑΚΛΕΙΟ;Δήμος Μαλεβιζίου;Αμμουδάρα 1
ΗΡΑΚΛΕΙΟ;Δήμος Μαλεβιζίου;Αμμουδάρα 4
ΗΡΑΚΛΕΙΟ;Δήμος Μαλεβιζίου;Αμμουδάρα 5
ΗΡΑΚΛΕΙΟ;Δήμος Χερσονήσου;Λιμένας Χερσονήσου 5
ΗΡΑΚΛΕΙΟ;Δήμος Χερσονήσου;Άγ. Γεώργιος 1
ΗΡΑΚΛΕΙΟ;Δήμος Χερσονήσου;Άγ. Γεώργιος 3
ΗΡΑΚΛΕΙΟ;Δήμος Χερσονήσου;Ανισσαράς
ΗΡΑΚΛΕΙΟ;Δήμος Χερσονήσου;Άγ. Γεώργιος 2 / Παναγία Ρύζι
ΗΡΑΚΛΕΙΟ;Δήμος Χερσονήσου;Δράπανος
ΗΡΑΚΛΕΙΟ;Δήμος Χερσονήσου;Ποταμός
ΗΡΑΚΛΕΙΟ;Δήμος Χερσονήσου;Ποταμός Α
ΗΡΑΚΛΕΙΟ;Δήμος Χερσονήσου;Κοκκίνη Χάνι
ΗΡΑΚΛΕΙΟ;Δήμος Χερσονήσου;Αγία Πελαγία / Μενόπετρα
ΗΡΑΚΛΕΙΟ;Δήμος Χερσονήσου;Καστρί / Creta Maris
ΗΡΑΚΛΕΙΟ;Δήμος Φαιστού;Μάταλα
ΛΑΣΙΘΙ;Δήμος Αγ. Νικολάου;Σπηλιάδα
ΛΑΣΙΘΙ;Δήμος Αγ. Νικολάου;Πόρος 1
ΛΑΣΙΘΙ;Δήμος Αγ. Νικολάου;Πόρος 2
ΛΑΣΙΘΙ;Δήμος Αγ. Νικολάου;Ελούντα
ΛΑΣΙΘΙ;Δήμος Αγ. Νικολάου;Πηγαϊδάκια Ελούντας
ΛΑΣΙΘΙ;Δήμος Αγ. Νικολάου;Σχίσμα
ΛΑΣΙΘΙ;Δήμος Αγ. Νικολάου;Ελούντα 1
ΛΑΣΙΘΙ;Δήμος Αγ. Νικολάου;Δρήρος
ΛΑΣΙΘΙ;Δήμος Αγ. Νικολάου;Χιόνα
ΛΑΣΙΘΙ;Δήμος Αγ. Νικολάου;Πλάκα
ΛΑΣΙΘΙ;Δήμος Αγ. Νικολάου;Χαβάνια 2
ΛΑΣΙΘΙ;Δήμος Αγ. Νικολάου;Άγιος Νικόλαος 1
ΛΑΣΙΘΙ;Δήμος Αγ. Νικολάου;Άγιος Νικόλαος 2
ΛΑΣΙΘΙ;Δήμος Αγ. Νικολάου;Άγιος Νικόλαος 3
